location,lat,lon
"Golden Gate & Steiner Streets (Hayes Valley) San Francisco",37.779362,-122.43362
"Fort Point, Presidio San Francisco",37.810593,-122.477109
"Flood Building (870 Market Street) San Francisco",37.785354,-122.407475
"Fiesta Laundromat (898 S. Van Ness Ave., Mission) San Francisco",37.751239,-122.418371
"City Hall San Francisco",37.77493,-122.419416
"California & Larkin Streets (Nob Hill) San Francisco",37.790797,-122.419063
"Asian Art Museum (200 Larkin Street, Civic Center) San Francisco",37.780256,-122.416052
"Andrew S. Hallidie Plaza (Market & Powell Streets) San Francisco",37.796504,-122.410093
"430 Vallejo Street (Telegraph Hill) San Francisco",37.79928,-122.404632
"24th and Castro Streets (Noe Valley) San Francisco",37.751308,-122.434109
"Alco Plaza San Francisco",37.79566,-122.399207
"Twin Peaks San Francisco",37.754407,-122.447684
"TransAmerica Pyramid (600 Montgomery Street) San Francisco",37.795162,-122.402728
"Stockton Tunnel (Stockton Street at Sutter Street) San Francisco",37.787356,-122.423427
"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park) San Francisco",37.76904,-122.483519
"Potrero Hill San Francisco",37.760493,-122.400869
"Nob Hill San Francisco",37.793014,-122.416113
"Hyatt Regency Hotel (5 Embarcadero Center) San Francisco",37.794307,-122.39574
"Folsom Street (SOMA) San Francisco",37.780284,-122.403416
"Fairmont Hotel (950 Mason Street, Nob Hill) San Francisco",37.792496,-122.410035
"Embarcadero Freeway San Francisco",37.74894,-122.392848
"Candlestick Park (602 Jamestown Ave.) San Francisco",37.713548,-122.3857
"Broadway and Columbus Avenue (North Beach) San Francisco",37.797875,-122.406716
"The Barbary Coast San Francisco",37.784196,-122.40811
"755 Vallejo Street San Francisco",37.798456,-122.409789
"The Tamalpais Building (1201 Greenwich Street at Hyde) San Francisco",37.77493,-122.419416
"Neiman Marcus (150 Stockton Street, Union Square) San Francisco",37.787313,-122.406975
"First Bank (550 Montgomery Street at Commercial) San Francisco",37.77493,-122.419416
"Bay Bridge San Francisco",37.80396,-122.426785
"California & Grant Streets San Francisco",37.792464,-122.405954
"War Memorial Building (401 Van Ness Avenue) San Francisco",37.77859,-122.420917
"Transbay Terminal (Mission Street at 1st Street) San Francisco",37.788121,-122.395496
"140 Maiden Lane San Francisco",37.788266,-122.405891
"St. Peter & Paul's Church (666 Filbert Street, Washington Square) San Francisco",37.800918,-122.410111
"Neiman Marcus (150 Stockton Street, Union Square) San Francisco",37.787313,-122.406975
"Mason Street at Jackson San Francisco",37.795421,-122.411561
"M.H. de Young Memorial Museum (Golden Gate Park) San Francisco",37.76904,-122.483519
"Embarcadero Street Station- BART  San Francisco",37.792905,-122.397059
"Candlestick Park (602 Jamestown Ave.) San Francisco",37.713548,-122.3857
"Sacramento & Washington Streets San Francisco",27.508747,-99.500755
